"Path","File","Date Acquired","Sample","Misc"
"D:\GCMS_User\R312_Liying\Data\20231128\","SYG-E22-2-2-30%-2-SCAN.D","29 Nov 2023  14:50","SYG-E22-2-2-30%",""
"TIC: SYG-E22-2-2-30%-2-SCAN.D\data.ms","","","",""
"9.377","206",,,
"9.381","162",,,
"9.386","333",,,
"9.39","204",,,
"9.395","331",,,
"9.399","461",,,
"9.403","372",,,
"9.408","1016",,,
"9.412","1271",,,
"9.416","1472",,,
"9.421","1468",,,
"9.425","1061",,,
"9.429","1001",,,
"9.434","703",,,
"9.438","173",,,
"9.442","169",,,
"9.447","179",,,
"9.451","182",,,
"9.456","170",,,
"9.46","153",,,
"9.464","202",,,
"9.469","172",,,
"9.473","193",,,
"9.477","727",,,
"9.482","964",,,
"9.486","977",,,
"9.49","1954",,,
"9.495","1812",,,
"9.499","1804",,,
"9.504","593",,,
"9.508","416",,,
"9.512","181",,,
"9.517","176",,,
"9.521","212",,,
"9.525","198",,,
"9.53","176",,,
"9.534","0",,,
"9.538","215",,,
"9.543","192",,,
"9.547","525",,,
"9.552","1035",,,
"9.556","2631",,,
"9.56","3332",,,
"9.565","3665",,,
"9.569","3598",,,
"9.573","3273",,,
"9.578","2173",,,
"9.582","1843",,,
"9.586","843",,,
"9.591","807",,,
"9.595","211",,,
"9.599","206",,,
"9.604","377",,,
"9.608","0",,,
"9.613","199",,,
"9.617","150",,,
"9.621","710",,,
"9.626","566",,,
"9.63","1001",,,
"9.634","1213",,,
"9.639","1643",,,
"9.643","2299",,,
"9.647","2592",,,
"9.652","2068",,,
"9.656","1771",,,
"9.661","1269",,,
"9.665","1361",,,
"9.669","989",,,
"9.674","815",,,
"9.678","380",,,
"9.682","681",,,
"9.687","288",,,
"9.691","737",,,
"9.695","492",,,
"9.7","954",,,
"9.704","657",,,
"9.709","529",,,
"9.713","724",,,
"9.717","409",,,
"9.722","909",,,
"9.726","1489",,,
"9.73","2342",,,
"9.735","3326",,,
"9.739","4119",,,
"9.743","3898",,,
"9.748","3252",,,
"9.752","2607",,,
"9.757","2761",,,
"9.761","2756",,,
"9.765","4198",,,
"9.77","5675",,,
"9.774","6279",,,
"9.778","5644",,,
"9.783","4987",,,
"9.787","4265",,,
"9.791","3074",,,
"9.796","1777",,,
"9.8","878",,,
"9.804","159",,,
"9.809","266",,,
"9.813","220",,,
"9.818","457",,,
"9.822","642",,,
"9.826","599",,,
"9.831","163",,,
"9.835","168",,,
"9.839","0",,,
"9.844","0",,,
"9.848","164",,,
"9.852","188",,,
"9.857","193",,,
"9.861","204",,,
"9.866","351",,,
"9.87","193",,,
"9.874","0",,,
"9.879","557",,,
"9.883","157",,,
"9.887","359",,,
"9.892","172",,,
"9.896","249",,,
"9.9","0",,,
"9.905","166",,,
"9.909","156",,,
"9.914","230",,,
"9.918","153",,,
"9.922","384",,,
"9.927","498",,,
"9.931","749",,,
"9.935","1051",,,
"9.94","1396",,,
"9.944","1355",,,
"9.948","1115",,,
"9.953","1062",,,
"9.957","921",,,
"9.961","491",,,
"9.966","318",,,
"9.97","347",,,
"9.975","159",,,
"9.979","0",,,
"9.983","0",,,
"9.988","178",,,
"9.992","208",,,
"9.996","153",,,
"10.001","196",,,
"10.005","0",,,
"10.009","0",,,
"10.014","157",,,
"10.018","387",,,
"10.023","203",,,
"10.027","539",,,
"10.031","1113",,,
"10.036","1341",,,
"10.04","1790",,,
"10.044","1105",,,
"10.049","699",,,
"10.053","163",,,
"10.057","714",,,
"10.062","425",,,
"10.066","940",,,
"10.071","868",,,
"10.075","1055",,,
"10.079","942",,,
"10.084","591",,,
"10.088","856",,,
"10.092","532",,,
"10.097","214",,,
"10.101","0",,,
"10.105","190",,,
"10.11","0",,,
"10.114","0",,,
"10.119","0",,,
"10.123","236",,,
"10.127","496",,,
"10.132","745",,,
"10.136","602",,,
"10.14","470",,,
"10.145","564",,,
"10.149","153",,,
"10.153","0",,,
"10.158","200",,,
"10.162","208",,,
"10.166","1208",,,
"10.171","3651",,,
"10.175","10918",,,
"10.18","22539",,,
"10.184","37003",,,
"10.188","52628",,,
"10.193","56756",,,
"10.197","51772",,,
"10.201","35097",,,
"10.206","20505",,,
"10.21","9784",,,
"10.214","3337",,,
"10.219","1478",,,
"10.223","1140",,,
"10.228","874",,,
"10.232","667",,,
"10.236","569",,,
"10.241","426",,,
"10.245","767",,,
"10.249","1787",,,
"10.254","3024",,,
"10.258","4154",,,
"10.262","5767",,,
"10.267","5863",,,
"10.271","5902",,,
"10.276","5996",,,
"10.28","6104",,,
"10.284","5092",,,
"10.289","4309",,,
"10.293","4048",,,
"10.297","3136",,,
"10.302","2257",,,
"10.306","1341",,,
"10.31","1084",,,
"10.315","527",,,
"10.319","390",,,
"10.323","321",,,
"10.328","361",,,
"10.332","0",,,
"10.337","0",,,
"10.341","0",,,
"10.345","0",,,
"10.35","207",,,
"10.354","0",,,
"10.358","241",,,
"10.363","317",,,
"10.367","197",,,
"10.371","0",,,
"10.376","0",,,
"10.38","391",,,
"10.385","162",,,
"10.389","493",,,
"10.393","377",,,
"10.398","411",,,
"10.402","395",,,
"10.406","217",,,
"10.411","155",,,
"10.415","403",,,
"10.419","922",,,
"10.424","2739",,,
"10.428","4297",,,
"10.433","5990",,,
"10.437","6747",,,
"10.441","5221",,,
"10.446","4188",,,
"10.45","2557",,,
"10.454","823",,,
"10.459","609",,,
"10.463","958",,,
"10.467","1029",,,
"10.472","1273",,,
"10.476","1111",,,
"10.481","1233",,,
"10.485","1323",,,
"10.489","976",,,
"10.494","758",,,
"10.498","582",,,
"10.502","152",,,
"10.507","158",,,
"10.511","183",,,
"10.515","573",,,
"10.52","357",,,
"10.524","585",,,
"10.528","753",,,
"10.533","807",,,
"10.537","532",,,
"10.542","0",,,
"10.546","0",,,
"10.55","175",,,
"10.555","150",,,
"10.559","151",,,
"10.563","0",,,
"10.568","0",,,
"10.572","0",,,
"10.576","170",,,
"10.581","214",,,
"10.585","170",,,
"10.59","494",,,
"10.594","770",,,
"10.598","594",,,
"10.603","386",,,
"10.607","346",,,
"10.611","202",,,
"10.616","0",,,
"10.62","186",,,
"10.624","0",,,
"10.629","186",,,
"10.633","187",,,
"10.638","0",,,
"10.642","0",,,
"10.646","725",,,
"10.651","814",,,
"10.655","2594",,,
"10.659","3100",,,
"10.664","3974",,,
"10.668","4232",,,
"10.672","4130",,,
"10.677","3002",,,
"10.681","2413",,,
"10.685","1455",,,
"10.69","731",,,
"10.694","328",,,
"10.699","176",,,
"10.703","357",,,
"10.707","173",,,
"10.712","193",,,
"10.716","159",,,
"10.72","167",,,
"10.725","325",,,
"10.729","467",,,
"10.733","592",,,
"10.738","623",,,
"10.742","841",,,
"10.747","2020",,,
"10.751","3335",,,
"10.755","5240",,,
"10.76","7571",,,
"10.764","8906",,,
"10.768","8542",,,
"10.773","6372",,,
"10.777","3874",,,
"10.781","1911",,,
"10.786","824",,,
"10.79","352",,,
"10.795","173",,,
"10.799","170",,,
"10.803","247",,,
"10.808","792",,,
"10.812","1244",,,
"10.816","1972",,,
"10.821","2586",,,
"10.825","2140",,,
"10.829","1616",,,
"10.834","1807",,,
"10.838","2028",,,
"10.843","3797",,,
"10.847","4780",,,
"10.851","5821",,,
"10.856","6441",,,
"10.86","4728",,,
"10.864","4440",,,
"10.869","3723",,,
"10.873","2219",,,
"10.877","1386",,,
"10.882","1307",,,
"10.886","1050",,,
"10.89","1504",,,
"10.895","2182",,,
"10.899","4246",,,
"10.904","5498",,,
"10.908","6552",,,
"10.912","7712",,,
"10.917","9112",,,
"10.921","11925",,,
"10.925","14568",,,
"10.93","17056",,,
"10.934","17306",,,
"10.938","16711",,,
"10.943","12079",,,
"10.947","8053",,,
"10.952","5214",,,
"10.956","4438",,,
"10.96","3411",,,
"10.965","2990",,,
"10.969","2878",,,
"10.973","2789",,,
"10.978","3050",,,
"10.982","3037",,,
"10.986","3067",,,
"10.991","3972",,,
"10.995","5651",,,
"11","5790",,,
"11.004","5205",,,
"11.008","4540",,,
"11.013","2894",,,
"11.017","2597",,,
"11.021","1340",,,
"11.026","1615",,,
"11.03","1461",,,
"11.034","2250",,,
"11.039","3260",,,
"11.043","4084",,,
"11.047","4422",,,
"11.052","4290",,,
"11.056","3645",,,
"11.061","2540",,,
"11.065","1893",,,
"11.069","1440",,,
"11.074","1262",,,
"11.078","572",,,
"11.082","582",,,
"11.087","1000",,,
"11.091","1008",,,
"11.095","818",,,
"11.1","1278",,,
"11.104","2214",,,
"11.109","2044",,,
"11.113","2146",,,
"11.117","1988",,,
"11.122","831",,,
"11.126","736",,,
"11.13","329",,,
"11.135","184",,,
"11.139","533",,,
"11.143","551",,,
"11.148","967",,,
"11.152","1279",,,
"11.157","1602",,,
"11.161","593",,,
"11.165","698",,,
"11.17","151",,,
"11.174","330",,,
"11.178","346",,,
"11.183","356",,,
"11.187","571",,,
"11.191","977",,,
"11.196","1696",,,
"11.2","2379",,,
"11.205","1963",,,
"11.209","1124",,,
"11.213","931",,,
"11.218","561",,,
"11.222","692",,,
"11.226","867",,,
"11.231","656",,,
"11.235","299",,,
"11.239","678",,,
"11.244","1055",,,
"11.248","913",,,
"11.252","1163",,,
"11.257","1028",,,
"11.261","1109",,,
"11.266","2787",,,
"11.27","5296",,,
